,Event.ID,daily.count,Event.Date,Source.Name,Source.Sectors,Source.Country,Event.Text,CAMEO.Code,Intensity,Target.Name,Target.Sectors,target.recode,Target.Country,Story.ID,Sentence.Number,Publisher,City,District,Province,Country,Latitude,Longitude
332063,20129146,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27255994,2,Al Jazeera English,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
332064,20129147,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27255994,5,Al Jazeera English,Sao Goncalo,Bom Jesus,Estado do Piaui,Brazil,-9.2,-44.55
332299,20129420,32,6/18/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27259520,1,ANSA - Spanish Service (BASP),Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
332300,20129421,32,6/18/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27259520,4,ANSA - Spanish Service (BASP),Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
332301,20129422,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27259520,5,ANSA - Spanish Service (BASP),Rio de Janeiro,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9028,-43.2075
332304,20129425,32,6/18/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27259522,2,EFE News Service,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
332324,20129453,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27259600,1,O Globo,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
332347,20129488,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27259677,1,O Globo,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
332374,20129520,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27259738,1,AP Spanish Worldstream,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
332390,20129553,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27259907,2,Agence France-Presse,Brasil,Sao Jose Do Rio Pardo,Estado de Sao Paulo,Brazil,-21.5833,-46.9
332395,20129560,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27259925,4,AP Spanish Worldstream,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
332593,20129799,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27260291,3,Reuters - Noticias Latinoamericanas,,,,Brazil,-15.8307,-47.6127
332641,20129848,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,"Obstruct passage, block",144,-7.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27260337,5,DJ em Portugu̻s,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
332642,20129849,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,"Obstruct passage, block",144,-7.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27260338,5,DJ em Portugu̻s,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
332645,20129852,32,6/18/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27260342,5,Dow Jones News Service,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
332743,20129955,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27260474,5,Agencia EFE - Servi̤o em portugu̻s,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
332933,20130174,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27260995,1,Dow Jones Business News,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
332934,20130175,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27260995,2,Dow Jones Business News,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
333035,20130286,32,6/18/13,Dilma Rousseff,"(National) Major Party,Parties,Elite,Far Left,Government,Executive,Ideological,Executive Office",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27261192,6,ANSA - Spanish Service (BASP),Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
333243,20130509,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27261593,1,Cape Argus,Rio de Janeiro,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9028,-43.2075
333249,20130515,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27261599,5,El Norte,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
333377,20130659,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27261959,1,O Estado de Ṣo Paulo,,,,Brazil,-15.8307,-47.6127
333378,20130660,32,6/18/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27261959,2,O Estado de Ṣo Paulo,,,,Brazil,-15.8307,-47.6127
333379,20130661,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27261971,1,O Estado de Ṣo Paulo,,,,Brazil,-15.8307,-47.6127
333380,20130662,32,6/18/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27261971,2,O Estado de Ṣo Paulo,,,,Brazil,-15.8307,-47.6127
333715,20131027,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27262646,2,Folha de Ṣo Paulo,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
333716,20131028,32,6/18/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27262646,4,Folha de Ṣo Paulo,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
333717,20131029,32,6/18/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,"Obstruct passage, block",144,-7.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27262647,1,Folha de Ṣo Paulo,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
334009,20131341,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27263090,3,O Globo,Rio Branco,Floriano,Estado do Piaui,Brazil,-6.95,-42.9
334010,20131342,32,6/18/13,Citizen (Brazil),"Social,General Population / Civilian / Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27263090,6,O Globo,,,,Brazil,-15.8307,-47.6127
